Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L1_id,L0_id,True_L0_MAE,Meas_L0_MAE
Height,0,10%,1C x 36K,L1_0,L0_9,1.3877787807814457e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_0,1.0121533241166011e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_1,0.175887049710623,-1.0
Height,0,10%,1C x 36K,L1_1,L0_10,0.4482461679043848,-1.0
Height,0,10%,1C x 36K,L1_1,L0_11,1.73749903353837e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_12,0.04460656584944959,-1.0
Height,0,10%,1C x 36K,L1_1,L0_13,0.03799011008196748,-1.0
Height,0,10%,1C x 36K,L1_1,L0_14,1.2112417550428726e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_15,0.03449557263414697,-1.0
Height,0,10%,1C x 36K,L1_1,L0_16,0.01533481585094525,-1.0
Height,0,10%,1C x 36K,L1_1,L0_17,1.4015987444733943e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_18,0.04771509728781732,-1.0
Height,0,10%,1C x 36K,L1_1,L0_19,0.4189994856015081,-1.0
Height,0,10%,1C x 36K,L1_1,L0_2,0.24133786238982574,-1.0
Height,0,10%,1C x 36K,L1_1,L0_20,0.025922710493808294,-1.0
Height,0,10%,1C x 36K,L1_1,L0_21,0.2985216689587028,-1.0
Height,0,10%,1C x 36K,L1_1,L0_22,0.06593248048592552,-1.0
Height,0,10%,1C x 36K,L1_1,L0_23,0.0991004756462304,-1.0
Height,0,10%,1C x 36K,L1_1,L0_24,0.18441279836162,-1.0
Height,0,10%,1C x 36K,L1_1,L0_3,0.3912394172075485,0.39123941720754873
Height,0,10%,1C x 36K,L1_1,L0_4,0.03587955317672944,-1.0
Height,0,10%,1C x 36K,L1_1,L0_5,0.2462970880135879,-1.0
Height,0,10%,1C x 36K,L1_1,L0_6,0.03473439014586785,-1.0
Height,0,10%,1C x 36K,L1_1,L0_7,0.17621101310508985,-1.0
Height,0,10%,1C x 36K,L1_1,L0_8,8.34517640176576e-16,-1.0
Height,0,10%,1C x 36K,L1_1,L0_9,0.08549311952661741,-1.0
Height,0,10%,1C x 36K,L1_2,L0_0,0.05152984242945562,-1.0
Height,0,10%,1C x 36K,L1_2,L0_1,0.15274980527544155,-1.0
Height,0,10%,1C x 36K,L1_2,L0_10,0.203098578793838,-1.0
