Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L1_id,L0_id,True_L0_MAE,Meas_L0_MAE
Height,0,10%,2C x 15K,L1_2,L0_21,1.3674246919966511e-15,2.1279274638648835e-15
Height,0,10%,2C x 15K,L1_2,L0_22,1.550611491059802e-15,-1.0
Height,0,10%,2C x 15K,L1_2,L0_23,1.3470706032118565e-15,-1.0
Height,0,10%,2C x 15K,L1_2,L0_24,1.0880185641326535e-15,-1.0
Height,0,10%,2C x 15K,L1_2,L0_3,1.05286150168619e-15,-1.0
Height,0,10%,2C x 15K,L1_2,L0_4,1.7356486618306613e-15,-1.0
Height,0,10%,2C x 15K,L1_2,L0_5,1.1379786002407855e-15,-1.0
Height,0,10%,2C x 15K,L1_2,L0_6,9.853229343548264e-16,-1.0
Height,0,10%,2C x 15K,L1_2,L0_7,2.0317081350640365e-15,-1.0
Height,0,10%,2C x 15K,L1_2,L0_8,7.142434791755174e-16,-1.0
Height,0,10%,2C x 15K,L1_2,L0_9,1.3785269222429026e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_0,9.547918011776346e-16,-1.0
Height,0,10%,1C x 36K,L1_0,L0_1,1.4187725068855646e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_10,1.4025817544431144e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_11,8.48626724447854e-16,0.0050377401795754775
Height,0,10%,1C x 36K,L1_0,L0_12,1.6135241291218942e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_13,1.1509312021947457e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_14,1.5210055437364644e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_15,1.1703601051256858e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_16,1.6264767310758544e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_17,1.6542323066914833e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_18,1.0510111299784815e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_19,1.7021106746284432e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_2,1.1287267417022424e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_20,1.7097434579227411e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_21,1.1971904948874605e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_22,1.2582527612418441e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_23,1.7467508920769129e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_24,1.4284869583510348e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_3,1.254552017826427e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_4,9.917992353318065e-16,-1.0
Height,0,10%,1C x 36K,L1_0,L0_5,1.2138438402568378e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_6,1.2212453270876722e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_7,1.3988810110276972e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_8,1.842507627950833e-15,-1.0
Height,0,10%,1C x 36K,L1_0,L0_9,1.0907941216942162e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_0,9.381384558082572e-16,-1.0
Height,0,10%,1C x 36K,L1_1,L0_1,2.0502118521411222e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_10,1.5177673932479743e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_11,8.308168967611588e-16,-1.0
Height,0,10%,1C x 36K,L1_1,L0_12,9.80697005085555e-16,-1.0
Height,0,10%,1C x 36K,L1_1,L0_13,1.7745064676925418e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_14,1.2730557349035128e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_15,1.0658141036401502e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_16,1.7263968032921185e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_17,1.2934098236883074e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_18,1.1139237680405737e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_19,1.3248661427193535e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_2,1.5395092608135505e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_20,1.254552017826427e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_21,1.2027416100105863e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_22,1.768492759642489e-15,1.9567680809018384e-15
Height,0,10%,1C x 36K,L1_1,L0_23,9.02981393361794e-16,-1.0
Height,0,10%,1C x 36K,L1_1,L0_24,1.1021276484039315e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_3,1.2952601953960159e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_4,1.2429871946532481e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_5,7.993605777301127e-16,-1.0
Height,0,10%,1C x 36K,L1_1,L0_6,1.7557714541519923e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_7,1.4627188349436438e-15,-1.0
Height,0,10%,1C x 36K,L1_1,L0_8,7.216449660063518e-16,-1.0
Height,0,10%,1C x 36K,L1_1,L0_9,1.3470706032118565e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_0,1.805962786723588e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_1,8.525587643267347e-16,-1.0
Height,0,10%,1C x 36K,L1_2,L0_10,1.6475247092510396e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_11,1.7037297498726881e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_12,1.099120794378905e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_13,1.099120794378905e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_14,1.080617077301819e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_15,1.0362081563168128e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_16,1.1990408665951691e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_17,1.0177044392397268e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_18,1.6917023337725824e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_19,8.59497658230642e-16,-1.0
Height,0,10%,1C x 36K,L1_2,L0_2,1.669035280353152e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_20,1.4099832412739487e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_21,1.3674246919966511e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_22,1.550611491059802e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_23,1.3470706032118565e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_24,1.0880185641326535e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_3,1.05286150168619e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_4,1.7356486618306613e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_5,1.1379786002407855e-15,-1.0
Height,0,10%,1C x 36K,L1_2,L0_6,9.853229343548264e-16,-1.0
Height,0,10%,1C x 36K,L1_2,L0_7,2.0317081350640365e-15,2.4609943712524305e-15
Height,0,10%,1C x 36K,L1_2,L0_8,7.142434791755174e-16,-1.0
Height,0,10%,1C x 36K,L1_2,L0_9,1.3785269222429026e-15,-1.0
Height,0,20%,8C x 9K,L1_0,L0_0,9.547918011776346e-16,-1.0
Height,0,20%,8C x 9K,L1_0,L0_1,1.4187725068855646e-15,0.005593847409616218
Height,0,20%,8C x 9K,L1_0,L0_10,1.4025817544431144e-15,-1.0
Height,0,20%,8C x 9K,L1_0,L0_11,8.48626724447854e-16,1.6634070664088717e-15
Height,0,20%,8C x 9K,L1_0,L0_12,1.6135241291218942e-15,-1.0
Height,0,20%,8C x 9K,L1_0,L0_13,1.1509312021947457e-15,-1.0
Height,0,20%,8C x 9K,L1_0,L0_14,1.5210055437364644e-15,-1.0
Height,0,20%,8C x 9K,L1_0,L0_15,1.1703601051256858e-15,0.007756104120523559
Height,0,20%,8C x 9K,L1_0,L0_16,1.6264767310758544e-15,1.4741294604745135e-15
Height,0,20%,8C x 9K,L1_0,L0_17,1.6542323066914833e-15,-1.0
Height,0,20%,8C x 9K,L1_0,L0_18,1.0510111299784815e-15,-1.0
Height,0,20%,8C x 9K,L1_0,L0_19,1.7021106746284432e-15,-1.0
Height,0,20%,8C x 9K,L1_0,L0_2,1.1287267417022424e-15,-1.0
Height,0,20%,8C x 9K,L1_0,L0_20,1.7097434579227411e-15,-1.0
Height,0,20%,8C x 9K,L1_0,L0_21,1.1971904948874605e-15,2.6352377070616562e-15
Height,0,20%,8C x 9K,L1_0,L0_22,1.2582527612418441e-15,-1.0
Height,0,20%,8C x 9K,L1_0,L0_23,1.7467508920769129e-15,-1.0
Height,0,20%,8C x 9K,L1_0,L0_24,1.4284869583510348e-15,-1.0
Height,0,20%,8C x 9K,L1_0,L0_3,1.254552017826427e-15,2.3283843988666477e-15
Height,0,20%,8C x 9K,L1_0,L0_4,9.917992353318065e-16,-1.0
Height,0,20%,8C x 9K,L1_0,L0_5,1.2138438402568378e-15,-1.0
Height,0,20%,8C x 9K,L1_0,L0_6,1.2212453270876722e-15,-1.0
Height,0,20%,8C x 9K,L1_0,L0_7,1.3988810110276972e-15,0.02154137713534183
Height,0,20%,8C x 9K,L1_0,L0_8,1.842507627950833e-15,0.04106877957544969
Height,0,20%,8C x 9K,L1_0,L0_9,1.0907941216942162e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_0,9.381384558082572e-16,-1.0
Height,0,20%,8C x 9K,L1_1,L0_1,2.0502118521411222e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_10,1.5177673932479743e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_11,8.308168967611588e-16,2.0107372557100057e-15
Height,0,20%,8C x 9K,L1_1,L0_12,9.80697005085555e-16,-1.0
Height,0,20%,8C x 9K,L1_1,L0_13,1.7745064676925418e-15,2.4301548427906205e-15
Height,0,20%,8C x 9K,L1_1,L0_14,1.2730557349035128e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_15,1.0658141036401502e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_16,1.7263968032921185e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_17,1.2934098236883074e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_18,1.1139237680405737e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_19,1.3248661427193535e-15,2.1094237467877974e-15
Height,0,20%,8C x 9K,L1_1,L0_2,1.5395092608135505e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_20,1.254552017826427e-15,2.4671622769447922e-15
Height,0,20%,8C x 9K,L1_1,L0_21,1.2027416100105863e-15,1.8318679906315083e-15
Height,0,20%,8C x 9K,L1_1,L0_22,1.768492759642489e-15,2.064706430518173e-15
Height,0,20%,8C x 9K,L1_1,L0_23,9.02981393361794e-16,1.1719020815487763e-15
Height,0,20%,8C x 9K,L1_1,L0_24,1.1021276484039315e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_3,1.2952601953960159e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_4,1.2429871946532481e-15,1.9675619158634718e-15
Height,0,20%,8C x 9K,L1_1,L0_5,7.993605777301127e-16,-1.0
Height,0,20%,8C x 9K,L1_1,L0_6,1.7557714541519923e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_7,1.4627188349436438e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_8,7.216449660063518e-16,-1.0
Height,0,20%,8C x 9K,L1_1,L0_9,1.3470706032118565e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_0,1.805962786723588e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_1,8.525587643267347e-16,-1.0
Height,0,20%,8C x 9K,L1_2,L0_10,1.6475247092510396e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_11,1.7037297498726881e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_12,1.099120794378905e-15,1.4957171303977803e-15
Height,0,20%,8C x 9K,L1_2,L0_13,1.099120794378905e-15,1.578983857244667e-15
Height,0,20%,8C x 9K,L1_2,L0_14,1.080617077301819e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_15,1.0362081563168128e-15,2.58435248509967e-15
Height,0,20%,8C x 9K,L1_2,L0_16,1.1990408665951691e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_17,1.0177044392397268e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_18,1.6917023337725824e-15,2.7878933729476153e-15
Height,0,20%,8C x 9K,L1_2,L0_19,8.59497658230642e-16,-1.0
Height,0,20%,8C x 9K,L1_2,L0_2,1.669035280353152e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_20,1.4099832412739487e-15,1.790234627208065e-15
Height,0,20%,8C x 9K,L1_2,L0_21,1.3674246919966511e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_22,1.550611491059802e-15,-1.0
