Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,L1_id,True_L1_MAE,Meas_L1_MAE,Meas_L2_MAE
Height,0,10%,2C x 15K,10%,2C x 2K,L1_0,0.02836240050307996,0.03787132762873364,0.036354454437793726
Height,0,10%,2C x 15K,10%,2C x 2K,L1_1,0.02511403671614753,0.02809843738093595,0.055884248114280305
Height,0,10%,2C x 15K,10%,2C x 2K,L1_2,0.025396484292818055,0.04392750183413439,0.017945977897260393
Height,0,10%,2C x 15K,10%,1C x 3K,L1_0,0.02836240050307996,0.03787132762873364,0.020890096365234385
Height,0,10%,2C x 15K,10%,1C x 3K,L1_1,0.02511403671614753,0.02809843738093595,0.06137846258223297
Height,0,10%,2C x 15K,10%,1C x 3K,L1_2,0.025396484292818055,0.04392750183413439,0.031018963343698285
Height,0,10%,2C x 15K,20%,2C x 3K,L1_0,0.02836240050307996,0.03787132762873364,0.040667106494799904
Height,0,10%,2C x 15K,20%,2C x 3K,L1_1,0.02511403671614753,0.02809843738093595,0.046268582581936356
Height,0,10%,2C x 15K,20%,2C x 3K,L1_2,0.025396484292818055,0.04392750183413439,0.02355589797008839
Height,0,10%,2C x 15K,20%,1C x 6K,L1_0,0.02836240050307996,0.03787132762873364,0.026032396581639233
Height,0,10%,2C x 15K,20%,1C x 6K,L1_1,0.02511403671614753,0.02809843738093595,0.025925928464063924
Height,0,10%,2C x 15K,20%,1C x 6K,L1_2,0.025396484292818055,0.04392750183413439,0.03166865401197364
Height,0,10%,2C x 15K,30%,2C x 4K,L1_0,0.02836240050307996,0.03787132762873364,0.03471444954484787
Height,0,10%,2C x 15K,30%,2C x 4K,L1_1,0.02511403671614753,0.02809843738093595,0.040248283428094826
Height,0,10%,2C x 15K,30%,2C x 4K,L1_2,0.025396484292818055,0.04392750183413439,0.031237608886719948
Height,0,10%,2C x 15K,30%,1C x 9K,L1_0,0.02836240050307996,0.03787132762873364,0.028405574858267557
Height,0,10%,2C x 15K,30%,1C x 9K,L1_1,0.02511403671614753,0.02809843738093595,0.025616357457904224
Height,0,10%,2C x 15K,30%,1C x 9K,L1_2,0.025396484292818055,0.04392750183413439,0.03339677283438846
Height,0,10%,2C x 15K,40%,2C x 6K,L1_0,0.02836240050307996,0.03787132762873364,0.038493392525028806
Height,0,10%,2C x 15K,40%,2C x 6K,L1_1,0.02511403671614753,0.02809843738093595,0.029695048107128284
Height,0,10%,2C x 15K,40%,2C x 6K,L1_2,0.025396484292818055,0.04392750183413439,0.03104459213041312
Height,0,10%,2C x 15K,40%,1C x 12K,L1_0,0.02836240050307996,0.03787132762873364,0.027437183601483284
Height,0,10%,2C x 15K,40%,1C x 12K,L1_1,0.02511403671614753,0.02809843738093595,0.04536997296075989
Height,0,10%,2C x 15K,40%,1C x 12K,L1_2,0.025396484292818055,0.04392750183413439,0.03881397615292264
Height,0,10%,2C x 15K,50%,2C x 7K,L1_0,0.02836240050307996,0.03787132762873364,0.03751732902695686
Height,0,10%,2C x 15K,50%,2C x 7K,L1_1,0.02511403671614753,0.02809843738093595,0.03339051621528353
Height,0,10%,2C x 15K,50%,2C x 7K,L1_2,0.025396484292818055,0.04392750183413439,0.034951283366626465
Height,0,10%,2C x 15K,50%,1C x 15K,L1_0,0.02836240050307996,0.03787132762873364,0.04466521841334057
Height,0,10%,2C x 15K,50%,1C x 15K,L1_1,0.02511403671614753,0.02809843738093595,0.04122283902121165
Height,0,10%,2C x 15K,50%,1C x 15K,L1_2,0.025396484292818055,0.04392750183413439,0.0335640179726834
Height,0,10%,2C x 15K,60%,2C x 9K,L1_0,0.02836240050307996,0.03787132762873364,0.03768472871020276
Height,0,10%,2C x 15K,60%,2C x 9K,L1_1,0.02511403671614753,0.02809843738093595,0.03394195702181549
Height,0,10%,2C x 15K,60%,2C x 9K,L1_2,0.025396484292818055,0.04392750183413439,0.037845262723145846
Height,0,10%,2C x 15K,60%,1C x 15K,L1_0,0.02836240050307996,0.03787132762873364,0.04466521841334057
Height,0,10%,2C x 15K,60%,1C x 15K,L1_1,0.02511403671614753,0.02809843738093595,0.04122283902121165
Height,0,10%,2C x 15K,60%,1C x 15K,L1_2,0.025396484292818055,0.04392750183413439,0.0335640179726834
Height,0,10%,2C x 15K,70%,2C x 10K,L1_0,0.02836240050307996,0.03787132762873364,0.036854109526651344
Height,0,10%,2C x 15K,70%,2C x 10K,L1_1,0.02511403671614753,0.02809843738093595,0.03816096623302153
Height,0,10%,2C x 15K,70%,2C x 10K,L1_2,0.025396484292818055,0.04392750183413439,0.042218352383097436
Height,0,10%,2C x 15K,70%,1C x 15K,L1_0,0.02836240050307996,0.03787132762873364,0.029155972774543217
Height,0,10%,2C x 15K,70%,1C x 15K,L1_1,0.02511403671614753,0.02809843738093595,0.04122283902121165
Height,0,10%,2C x 15K,70%,1C x 15K,L1_2,0.025396484292818055,0.04392750183413439,0.0335640179726834
Height,0,10%,2C x 15K,80%,2C x 12K,L1_0,0.02836240050307996,0.03787132762873364,0.03994506748379439
Height,0,10%,2C x 15K,80%,2C x 12K,L1_1,0.02511403671614753,0.02809843738093595,0.03730231722816179
Height,0,10%,2C x 15K,80%,2C x 12K,L1_2,0.025396484292818055,0.04392750183413439,0.03564932807306005
Height,0,10%,2C x 15K,80%,2C x 15K,L1_0,0.02836240050307996,0.03787132762873364,0.03691059559394189
Height,0,10%,2C x 15K,80%,2C x 15K,L1_1,0.02511403671614753,0.02809843738093595,0.036191170789495936
Height,0,10%,2C x 15K,80%,2C x 15K,L1_2,0.025396484292818055,0.04392750183413439,0.03256818471159673
Height,0,10%,2C x 15K,90%,2C x 13K,L1_0,0.02836240050307996,0.03787132762873364,0.03501985275294644
Height,0,10%,2C x 15K,90%,2C x 13K,L1_1,0.02511403671614753,0.02809843738093595,0.037992275641120996
Height,0,10%,2C x 15K,90%,2C x 13K,L1_2,0.025396484292818055,0.04392750183413439,0.030876711544249587
Height,0,10%,2C x 15K,90%,2C x 15K,L1_0,0.02836240050307996,0.03787132762873364,0.03691059559394189
Height,0,10%,2C x 15K,90%,2C x 15K,L1_1,0.02511403671614753,0.02809843738093595,0.036191170789495936
Height,0,10%,2C x 15K,90%,2C x 15K,L1_2,0.025396484292818055,0.04392750183413439,0.03256818471159673
Height,0,10%,2C x 15K,100%,2C x 15K,L1_0,0.02836240050307996,0.03787132762873364,0.03691059559394189
Height,0,10%,2C x 15K,100%,2C x 15K,L1_1,0.02511403671614753,0.02809843738093595,0.036191170789495936
Height,0,10%,2C x 15K,100%,2C x 15K,L1_2,0.025396484292818055,0.04392750183413439,0.03256818471159673
Height,0,10%,2C x 15K,100%,2C x 15K,L1_0,0.02836240050307996,0.03787132762873364,0.03691059559394189
Height,0,10%,2C x 15K,100%,2C x 15K,L1_1,0.02511403671614753,0.02809843738093595,0.036191170789495936
Height,0,10%,2C x 15K,100%,2C x 15K,L1_2,0.025396484292818055,0.04392750183413439,0.03256818471159673
Height,0,10%,1C x 36K,10%,1C x 3K,L1_0,0.02836240050307996,0.04132314336203642,0.011483989157710206
Height,0,10%,1C x 36K,10%,1C x 3K,L1_1,0.02511403671614753,0.03956365847855966,0.00853226673589802
Height,0,10%,1C x 36K,10%,1C x 3K,L1_2,0.025396484292818055,0.032838332257121926,0.025146226125590698
Height,0,10%,1C x 36K,10%,1C x 3K,L1_0,0.02836240050307996,0.04132314336203642,0.03374570382992633
Height,0,10%,1C x 36K,10%,1C x 3K,L1_1,0.02511403671614753,0.03956365847855966,0.016224393721068358
Height,0,10%,1C x 36K,10%,1C x 3K,L1_2,0.025396484292818055,0.032838332257121926,0.03713556974350107
Height,0,10%,1C x 36K,20%,1C x 7K,L1_0,0.02836240050307996,0.04132314336203642,0.04653741430931369
Height,0,10%,1C x 36K,20%,1C x 7K,L1_1,0.02511403671614753,0.03956365847855966,0.041570269438321636
Height,0,10%,1C x 36K,20%,1C x 7K,L1_2,0.025396484292818055,0.032838332257121926,0.02209552675935477
Height,0,10%,1C x 36K,20%,1C x 7K,L1_0,0.02836240050307996,0.04132314336203642,0.08154456614649908
Height,0,10%,1C x 36K,20%,1C x 7K,L1_1,0.02511403671614753,0.03956365847855966,0.04058317038892821
Height,0,10%,1C x 36K,20%,1C x 7K,L1_2,0.025396484292818055,0.032838332257121926,0.02752786426430533
Height,0,10%,1C x 36K,30%,1C x 10K,L1_0,0.02836240050307996,0.04132314336203642,0.04392012621455395
Height,0,10%,1C x 36K,30%,1C x 10K,L1_1,0.02511403671614753,0.03956365847855966,0.02928861197827335
Height,0,10%,1C x 36K,30%,1C x 10K,L1_2,0.025396484292818055,0.032838332257121926,0.023422354279761404
Height,0,10%,1C x 36K,30%,1C x 10K,L1_0,0.02836240050307996,0.04132314336203642,0.08051546080130496
Height,0,10%,1C x 36K,30%,1C x 10K,L1_1,0.02511403671614753,0.03956365847855966,0.03632245402742227
Height,0,10%,1C x 36K,30%,1C x 10K,L1_2,0.025396484292818055,0.032838332257121926,0.024338847708806993
Height,0,10%,1C x 36K,40%,1C x 14K,L1_0,0.02836240050307996,0.04132314336203642,0.06625705600318031
Height,0,10%,1C x 36K,40%,1C x 14K,L1_1,0.02511403671614753,0.03956365847855966,0.029531466875224437
