Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,L1_id,True_L1_MAE,Meas_L1_MAE,Meas_L2_MAE
Height,0,10%,2C x 15K,10%,2C x 2K,L1_0,0.02836240050307996,0.05597387484192155,0.064140787704946
Height,0,10%,2C x 15K,10%,2C x 2K,L1_1,0.02511403671614753,0.033310961556029264,0.025234921890569167
Height,0,10%,2C x 15K,10%,2C x 2K,L1_2,0.025396484292818055,0.03192720933213366,0.03644076228860979
Height,0,10%,2C x 15K,10%,1C x 3K,L1_0,0.02836240050307996,0.05597387484192155,0.06889944270121014
Height,0,10%,2C x 15K,10%,1C x 3K,L1_1,0.02511403671614753,0.033310961556029264,0.06553297929874424
Height,0,10%,2C x 15K,10%,1C x 3K,L1_2,0.025396484292818055,0.03192720933213366,0.06013461871392067
Height,0,10%,2C x 15K,20%,2C x 3K,L1_0,0.02836240050307996,0.05597387484192155,0.04248841271595663
Height,0,10%,2C x 15K,20%,2C x 3K,L1_1,0.02511403671614753,0.033310961556029264,0.024426210081273842
Height,0,10%,2C x 15K,20%,2C x 3K,L1_2,0.025396484292818055,0.03192720933213366,0.03025233204053447
Height,0,10%,2C x 15K,20%,1C x 6K,L1_0,0.02836240050307996,0.05597387484192155,0.06375972348859009
Height,0,10%,2C x 15K,20%,1C x 6K,L1_1,0.02511403671614753,0.033310961556029264,0.0430887839837476
Height,0,10%,2C x 15K,20%,1C x 6K,L1_2,0.025396484292818055,0.03192720933213366,0.04670156424120134
Height,0,10%,2C x 15K,30%,2C x 4K,L1_0,0.02836240050307996,0.05597387484192155,0.03747084364695538
Height,0,10%,2C x 15K,30%,2C x 4K,L1_1,0.02511403671614753,0.033310961556029264,0.036693179641715916
Height,0,10%,2C x 15K,30%,2C x 4K,L1_2,0.025396484292818055,0.03192720933213366,0.034538731778867446
Height,0,10%,2C x 15K,30%,1C x 9K,L1_0,0.02836240050307996,0.05597387484192155,0.04100486703723083
Height,0,10%,2C x 15K,30%,1C x 9K,L1_1,0.02511403671614753,0.033310961556029264,0.028005329012415307
Height,0,10%,2C x 15K,30%,1C x 9K,L1_2,0.025396484292818055,0.03192720933213366,0.031354617325828865
Height,0,10%,2C x 15K,40%,2C x 6K,L1_0,0.02836240050307996,0.05597387484192155,0.04927189343707239
Height,0,10%,2C x 15K,40%,2C x 6K,L1_1,0.02511403671614753,0.033310961556029264,0.039882703484095006
Height,0,10%,2C x 15K,40%,2C x 6K,L1_2,0.025396484292818055,0.03192720933213366,0.03867623340668862
Height,0,10%,2C x 15K,40%,1C x 12K,L1_0,0.02836240050307996,0.05597387484192155,0.056805599102394605
Height,0,10%,2C x 15K,40%,1C x 12K,L1_1,0.02511403671614753,0.033310961556029264,0.03456404206794608
Height,0,10%,2C x 15K,40%,1C x 12K,L1_2,0.025396484292818055,0.03192720933213366,0.032920581803858866
Height,0,10%,2C x 15K,50%,2C x 7K,L1_0,0.02836240050307996,0.05597387484192155,0.04060234557922322
Height,0,10%,2C x 15K,50%,2C x 7K,L1_1,0.02511403671614753,0.033310961556029264,0.02864267172216939
Height,0,10%,2C x 15K,50%,2C x 7K,L1_2,0.025396484292818055,0.03192720933213366,0.033788765263088945
Height,0,10%,2C x 15K,50%,1C x 15K,L1_0,0.02836240050307996,0.05597387484192155,0.06102890691470565
Height,0,10%,2C x 15K,50%,1C x 15K,L1_1,0.02511403671614753,0.033310961556029264,0.04425602316158116
Height,0,10%,2C x 15K,50%,1C x 15K,L1_2,0.025396484292818055,0.03192720933213366,0.030547158822807056
Height,0,10%,2C x 15K,60%,2C x 9K,L1_0,0.02836240050307996,0.05597387484192155,0.05823023577792744
Height,0,10%,2C x 15K,60%,2C x 9K,L1_1,0.02511403671614753,0.033310961556029264,0.04149621171076747
Height,0,10%,2C x 15K,60%,2C x 9K,L1_2,0.025396484292818055,0.03192720933213366,0.04206152572447958
Height,0,10%,2C x 15K,60%,1C x 15K,L1_0,0.02836240050307996,0.05597387484192155,0.049151455265723835
Height,0,10%,2C x 15K,60%,1C x 15K,L1_1,0.02511403671614753,0.033310961556029264,0.03093525491924783
Height,0,10%,2C x 15K,60%,1C x 15K,L1_2,0.025396484292818055,0.03192720933213366,0.03987142406159517
Height,0,10%,2C x 15K,70%,2C x 10K,L1_0,0.02836240050307996,0.05597387484192155,0.057447507262258224
Height,0,10%,2C x 15K,70%,2C x 10K,L1_1,0.02511403671614753,0.033310961556029264,0.03178703683291604
Height,0,10%,2C x 15K,70%,2C x 10K,L1_2,0.025396484292818055,0.03192720933213366,0.040093467145352876
Height,0,10%,2C x 15K,70%,1C x 15K,L1_0,0.02836240050307996,0.05597387484192155,0.049151455265723835
Height,0,10%,2C x 15K,70%,1C x 15K,L1_1,0.02511403671614753,0.033310961556029264,0.03093525491924783
Height,0,10%,2C x 15K,70%,1C x 15K,L1_2,0.025396484292818055,0.03192720933213366,0.03987142406159517
Height,0,10%,2C x 15K,80%,2C x 12K,L1_0,0.02836240050307996,0.05597387484192155,0.05475290583666296
Height,0,10%,2C x 15K,80%,2C x 12K,L1_1,0.02511403671614753,0.033310961556029264,0.03131677648591667
Height,0,10%,2C x 15K,80%,2C x 12K,L1_2,0.025396484292818055,0.03192720933213366,0.03527101371114166
Height,0,10%,2C x 15K,80%,2C x 15K,L1_0,0.02836240050307996,0.05597387484192155,0.05509018109021475
Height,0,10%,2C x 15K,80%,2C x 15K,L1_1,0.02511403671614753,0.033310961556029264,0.03759563904041449
Height,0,10%,2C x 15K,80%,2C x 15K,L1_2,0.025396484292818055,0.03192720933213366,0.03520929144220111
Height,0,10%,2C x 15K,90%,2C x 13K,L1_0,0.02836240050307996,0.05597387484192155,0.05614024610165897
Height,0,10%,2C x 15K,90%,2C x 13K,L1_1,0.02511403671614753,0.033310961556029264,0.038798314162687114
Height,0,10%,2C x 15K,90%,2C x 13K,L1_2,0.025396484292818055,0.03192720933213366,0.03787575398460451
Height,0,10%,2C x 15K,90%,2C x 15K,L1_0,0.02836240050307996,0.05597387484192155,0.05509018109021475
Height,0,10%,2C x 15K,90%,2C x 15K,L1_1,0.02511403671614753,0.033310961556029264,0.03759563904041449
Height,0,10%,2C x 15K,90%,2C x 15K,L1_2,0.025396484292818055,0.03192720933213366,0.03520929144220111
Height,0,10%,2C x 15K,100%,2C x 15K,L1_0,0.02836240050307996,0.05597387484192155,0.05509018109021475
Height,0,10%,2C x 15K,100%,2C x 15K,L1_1,0.02511403671614753,0.033310961556029264,0.03759563904041449
Height,0,10%,2C x 15K,100%,2C x 15K,L1_2,0.025396484292818055,0.03192720933213366,0.03520929144220111
Height,0,10%,2C x 15K,100%,2C x 15K,L1_0,0.02836240050307996,0.05597387484192155,0.05509018109021475
Height,0,10%,2C x 15K,100%,2C x 15K,L1_1,0.02511403671614753,0.033310961556029264,0.03759563904041449
Height,0,10%,2C x 15K,100%,2C x 15K,L1_2,0.025396484292818055,0.03192720933213366,0.03520929144220111
Height,0,10%,1C x 36K,10%,1C x 3K,L1_0,0.02836240050307996,0.02955830353521772,0.051678986549605975
Height,0,10%,1C x 36K,10%,1C x 3K,L1_1,0.02511403671614753,0.02985242395236,0.013228398492499719
Height,0,10%,1C x 36K,10%,1C x 3K,L1_2,0.025396484292818055,0.02305664537208837,0.03510458695298122
Height,0,10%,1C x 36K,10%,1C x 3K,L1_0,0.02836240050307996,0.02955830353521772,0.039782886075945566
Height,0,10%,1C x 36K,10%,1C x 3K,L1_1,0.02511403671614753,0.02985242395236,0.026166440389312023
