n_L0s_per_L1,n_children_per_L0,n_children_L1,real_rank_mean,real_rank_sem,n_overlap_mean,n_overlap_sem
10,20,10,1.5,0.22360679774997896,1.2,0.19999999999999998
10,20,12,1.5,0.26874192494328497,1.5,0.16666666666666666
10,20,15,1.2,0.13333333333333333,1.8,0.13333333333333333
10,20,18,1.3,0.15275252316519464,1.7,0.15275252316519464
10,20,20,1.2,0.13333333333333333,1.8,0.13333333333333333
