Universe,Indicator,Sim_ID,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V1_MAE_Std,V1_RMSE_Acc,V1_P90_Acc,V2_MAE_Acc,V2_MAE_Std,V2_RMSE_Acc,V2_P90_Acc,V3_MAE_Acc,V3_MAE_Std,V3_RMSE_Acc,V3_P90_Acc,Scenario,Rho_Model
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,6,6,6C x 6K,30%,2,6,2C x 6K,46.666666666666664,0.0,0.0,0.0,54.44444444444444,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,6,6,6C x 6K,30%,4,3,4C x 3K,36.666666666666664,0.0,0.0,0.0,54.44444444444444,0.0,0.0,0.0,36.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,6,6,6C x 6K,40%,2,6,2C x 6K,46.666666666666664,0.0,0.0,0.0,54.44444444444444,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,6,6,6C x 6K,40%,5,3,5C x 3K,30.0,0.0,0.0,0.0,54.44444444444444,0.0,0.0,0.0,30.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,6,6,6C x 6K,50%,3,6,3C x 6K,40.0,0.0,0.0,0.0,54.44444444444444,0.0,0.0,0.0,40.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,6,6,6C x 6K,50%,6,3,6C x 3K,53.333333333333336,0.0,0.0,0.0,54.44444444444444,0.0,0.0,0.0,53.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,6,6,6C x 6K,60%,4,6,4C x 6K,56.666666666666664,0.0,0.0,0.0,54.44444444444444,0.0,0.0,0.0,56.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,6,6,6C x 6K,60%,6,4,6C x 4K,56.666666666666664,0.0,0.0,0.0,54.44444444444444,0.0,0.0,0.0,56.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,6,6,6C x 6K,70%,4,6,4C x 6K,56.666666666666664,0.0,0.0,0.0,54.44444444444444,0.0,0.0,0.0,56.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,6,6,6C x 6K,70%,6,4,6C x 4K,56.666666666666664,0.0,0.0,0.0,54.44444444444444,0.0,0.0,0.0,56.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
