Universe,Indicator,Sim_ID,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V1_RMSE_Acc,V1_P90_Acc,V2_MAE_Acc,V2_RMSE_Acc,V2_P90_Acc,V3_MAE_Acc,V3_RMSE_Acc,V3_P90_Acc,Scenario,Rho_Model
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,40%,10,3,10C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,71.0,75.0,54.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,40%,10,3,10C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,77.0,76.0,64.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,40%,10,3,10C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,71.0,73.0,61.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,40%,10,3,10C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,78.0,82.0,62.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,60%,22,2,22C x 2K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,77.0,74.0,52.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,60%,22,2,22C x 2K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,82.0,81.0,65.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,76.0,73.0,57.99999999999999,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,83.0,81.0,68.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,75.0,77.0,54.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,77.0,78.0,64.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,74.0,76.0,52.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,83.0,82.0,70.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,75.0,75.0,54.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,82.0,83.0,67.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,78.0,76.0,57.99999999999999,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,60%,15,3,15C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,84.0,84.0,60.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,77.0,79.0,56.99999999999999,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,86.0,87.0,68.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,75.0,82.0,60.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,84.0,85.0,67.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,79.0,79.0,56.99999999999999,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,87.0,87.0,74.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,77.0,82.0,62.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,85.0,86.0,73.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,79.0,80.0,57.99999999999999,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,85.0,85.0,73.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,74.0,75.0,60.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,80%,20,3,20C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,86.0,85.0,69.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,80.0,80.0,62.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,86.0,87.0,77.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,80.0,80.0,62.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,86.0,87.0,77.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,80.0,80.0,62.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,86.0,87.0,77.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,80.0,80.0,62.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,86.0,87.0,77.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,80.0,80.0,62.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,86.0,87.0,77.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,42.0,42.0,45.0,37.596236099230104,37.29683490162532,36.39863130881095,80.0,80.0,62.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,25,3,25C x 3K,100%,25,3,25C x 3K,46.0,46.0,42.0,40.119760479041915,39.09324208725406,42.3011120615911,86.0,87.0,77.0,1_Good_L0_Good_L1,0.0
